,steps,avg_rewards0
0,0,3.4687412304532232
1,100000,15.19069727055274
2,200000,54.59910785542457
3,300000,146.0376174045713
4,400000,199.78053639095756
5,500000,240.55406703876685
6,600000,242.72907686862297
7,700000,244.74868089818966
8,800000,241.5284756218599
9,900000,250.81316198226216
10,1000000,237.21159233198264
11,1100000,241.4428957811421
12,1200000,246.57734610295344
13,1300000,260.5073669883332
14,1400000,248.98665858561955
15,1500000,243.43733432647113
16,1600000,246.433110707272
17,1700000,258.36205829858704
18,1800000,270.50065026441115
19,1900000,278.1510858719463
20,2000000,264.69741517520737
21,2100000,273.9693280744383
22,2200000,290.4974698988365
23,2300000,299.4133534654359
24,2400000,319.2765457426424
25,2500000,301.8962563063003
26,2600000,323.5939349056958
27,2700000,340.17508479423145
28,2800000,318.35288584414366
29,2900000,343.77759767527454
30,3000000,366.1081509386492
31,3100000,393.21406791365973
32,3200000,376.55314325578894
33,3300000,358.0114613068989
34,3400000,368.86926669705974
35,3500000,369.1490756091465
36,3600000,371.8893782940408
37,3700000,367.3491335279012
38,3800000,385.07216567886127
39,3900000,398.4557492397353
40,4000000,399.54028448768986
41,4100000,411.05190986782657
42,4200000,456.7498505093345
43,4300000,435.4600310166671
44,4400000,395.9100012985024
45,4500000,444.99471793591846
46,4600000,421.54916438090635
47,4700000,433.21942939433904
48,4800000,438.2792603147819
49,4900000,483.2027140626814
50,5000000,477.8445519597633
51,5100000,483.92692447517567
52,5200000,501.42765642846416
53,5300000,496.35235512300386
54,5400000,553.586393158115
55,5500000,553.0844625067225
56,5600000,662.6053526228809
57,5700000,583.8878378984712
58,5800000,594.8553771456142
59,5900000,595.4442410850455
60,6000000,578.834773696903
61,6100000,630.8039326237713
62,6200000,604.6588893714403
63,6300000,611.5693330948193
64,6400000,666.0764832123351
65,6500000,638.9382373024981
66,6600000,662.0068708493209
67,6700000,662.9398679144164
68,6800000,592.1353183630504
69,6900000,615.1772882345304
70,7000000,662.6884761261099
71,7100000,622.645157895295
72,7200000,574.5541828868849
73,7300000,574.4177529657509
74,7400000,618.9125475557569
75,7500000,611.6217876796766
76,7600000,603.5812107232293
77,7700000,641.9548007589499
78,7800000,633.7448520520717
79,7900000,630.4921070437076
80,8000000,665.4946405513087
81,8100000,670.1757465992248
82,8200000,640.9772226184713
83,8300000,757.796464043432
84,8400000,702.9788999947821
85,8500000,673.5256316477879
86,8600000,614.4948011149077
87,8700000,640.1075255090441
88,8800000,611.0187909527915
89,8900000,637.527364906169
90,9000000,712.8917916094814
91,9100000,619.5954322692379
92,9200000,690.0667664416989
93,9300000,656.1278070673754
94,9400000,651.8483142497367
95,9500000,656.6244575176222
96,9600000,650.9786894193534
97,9700000,610.740315000455
98,9800000,631.437795556493
99,9900000,665.9235445655838
100,10000000,659.3929094084743
101,10100000,648.8153406264166
102,10200000,609.5723578181625
103,10300000,590.2517313045878
104,10400000,680.2634276769325
105,10500000,607.4732139172672
106,10600000,604.1290319964651
107,10700000,679.2278003388906
108,10800000,633.4589874664989
109,10900000,679.4533063204009
110,11000000,651.7471969127092
111,11100000,687.1488826267909
112,11200000,647.9873530752893
113,11300000,738.257957660113
114,11400000,745.3553894989027
115,11500000,756.0150797436037
116,11600000,733.1934564792232
117,11700000,716.2045235953713
118,11800000,719.9688338381577
119,11900000,733.7735937395018
120,12000000,752.1587737428034
121,12100000,780.8931952572266
122,12200000,738.0199541330305
123,12300000,788.6135299529222
124,12400000,793.1989068596895
125,12500000,773.7054942129471
126,12600000,900.6039706154505
127,12700000,867.75861520653
128,12800000,892.361554106027
129,12900000,879.6056093161277
130,13000000,866.7109537260055
131,13100000,979.3952836774583
132,13200000,803.1006849092523
133,13300000,874.080869336719
134,13400000,873.1528893746431
135,13500000,821.4064740113706
136,13600000,973.8907710323246
137,13700000,893.4826887247417
138,13800000,1029.2062507059036
139,13900000,983.6504823017998
140,14000000,995.7466930033542
141,14100000,876.1195601597716
142,14200000,990.018076589497
143,14300000,953.8471651314873
144,14400000,945.0153570120041
145,14500000,1006.8406801810248
146,14600000,1028.2798247076348
147,14700000,1041.1550526185915
148,14800000,1016.2879547892811
149,14900000,995.4990701945694
150,15000000,1119.501310969219
151,15100000,1187.4932803308193
152,15200000,1128.641198081096
153,15300000,1114.2120857098314
154,15400000,1072.320735216425
155,15500000,1146.7770348859356
156,15600000,1188.413970906691
157,15700000,983.0838436002507
158,15800000,1148.4005911770437
159,15900000,1135.9793790463727
160,16000000,1221.3971520623006
161,16100000,1176.2523352817188
162,16200000,1292.7676845568844
163,16300000,1134.519470597275
164,16400000,1222.51422338841
165,16500000,1195.8152309283591
166,16600000,1130.5421672034015
167,16700000,1113.7694028650171
168,16800000,1093.4853093500283
169,16900000,1089.1544223612518
170,17000000,1174.250762495501
171,17100000,1084.4347364814512
172,17200000,1053.2263127667593
173,17300000,1162.7248186094037
174,17400000,1170.3772926432434
175,17500000,1219.6806430347303
176,17600000,1204.7577265755501
177,17700000,1248.1163528646614
178,17800000,1277.0134117317136
179,17900000,1244.866946455722
180,18000000,1298.393392842322
181,18100000,1263.1116394570577
