step,reward
1000,-255.0
2000,-167.25
3000,-319.5
4000,-210.0
5000,-283.7142857142857
6000,-209.92857142857142
7000,-716.1428571428571
8000,-199.13636363636363
9000,-332.26666666666665
10000,-224.69230769230768
11000,-203.11764705882354
12000,-1361.3333333333333
13000,-181.77272727272728
14000,-228.2
15000,-224.72727272727272
16000,-215.14285714285714
17000,-214.0
18000,-162.78571428571428
19000,-173.6818181818182
20000,-180.41666666666666
21000,-4334.0
22000,-171.95833333333334
23000,-199.125
24000,-190.125
25000,-207.75
26000,-199.95238095238096
27000,-173.0
28000,-140.10344827586206
29000,-159.16666666666666
30000,-160.76923076923077
31000,-304.1666666666667
32000,-170.2
33000,-136.15384615384616
34000,-179.0
35000,-138.60714285714286
36000,-283.0
37000,-163.8181818181818
38000,-181.75
39000,-206.92307692307693
40000,-109.66666666666667
41000,-137.56666666666666
42000,-303.15384615384613
43000,-124.81818181818181
44000,-232.0
45000,-124.125
46000,-149.52
47000,-121.25806451612904
48000,-120.53125
49000,-139.16666666666666
50000,-123.0
51000,-150.30434782608697
52000,-178.68421052631578
53000,-116.96
54000,-433.0
55000,-133.60714285714286
56000,-3998.0
57000,-157.875
58000,-124.43333333333334
59000,-100.45454545454545
60000,-114.27586206896552
61000,-176.42857142857142
62000,-126.06896551724138
63000,-95.6
64000,-85.25
65000,-186.75
66000,-172.58333333333334
67000,-108.53333333333333
68000,-177.52380952380952
69000,-134.66666666666666
70000,-97.07692307692308
71000,-128.7391304347826
72000,-99.41666666666667
73000,-204.57894736842104
74000,-141.64
75000,-130.82758620689654
76000,-103.19444444444444
77000,-184.0
78000,-93.66666666666667
79000,-108.51428571428572
80000,-103.48571428571428
81000,-137.58333333333334
82000,-208.05882352941177
83000,-87.02272727272727
84000,-106.11764705882354
85000,-91.76923076923077
86000,-97.72972972972973
87000,-125.53333333333333
88000,-103.29629629629629
89000,-89.67441860465117
90000,-88.1951219512195
91000,-91.33333333333333
92000,-97.48717948717949
93000,-96.65789473684211
94000,-113.33333333333333
95000,-123.34482758620689
96000,-300.6923076923077
97000,-107.33333333333333
98000,-95.6842105263158
99000,-120.38709677419355
100000,-146.30434782608697
101000,-90.025
102000,-98.43243243243244
103000,-117.13333333333334
104000,-115.23529411764706
105000,-121.38709677419355
106000,-99.58974358974359
107000,-123.44827586206897
108000,-97.4054054054054
109000,-99.25641025641026
110000,-187.8
111000,-90.65
112000,-78.84782608695652
113000,-89.53658536585365
114000,-91.14285714285714
115000,-70.2258064516129
116000,-90.63157894736842
117000,-74.12765957446808
118000,-183.73684210526315
119000,-85.46511627906976
120000,-76.375
121000,-109.72727272727273
122000,-86.9047619047619
123000,-182.25
124000,-91.94736842105263
