step,reward
1000,86.68181818181819
2000,89.53488372093024
3000,90.4390243902439
4000,95.95
5000,90.52380952380952
6000,95.05
7000,105.55555555555556
8000,91.38095238095238
9000,107.65714285714286
10000,108.28571428571429
11000,99.02564102564102
12000,108.68571428571428
13000,112.52941176470588
14000,109.76470588235294
15000,112.17647058823529
16000,112.52941176470588
17000,139.55555555555554
18000,123.51724137931035
19000,126.4
20000,139.55555555555554
21000,146.96
22000,153.76
23000,137.64285714285714
24000,165.47826086956522
25000,153.92
26000,166.7826086956522
27000,175.27272727272728
28000,186.2
29000,169.1818181818182
30000,178.47619047619048
31000,183.0
32000,234.25
33000,182.76190476190476
34000,225.1764705882353
35000,232.875
36000,195.11111111111111
37000,218.77777777777777
38000,221.05882352941177
39000,228.8235294117647
40000,219.41176470588235
41000,219.125
42000,259.73333333333335
43000,216.94117647058823
44000,239.625
45000,241.25
46000,299.38461538461536
47000,276.2857142857143
48000,281.84615384615387
49000,250.4
50000,223.75
51000,279.57142857142856
52000,245.125
53000,238.625
54000,215.44444444444446
55000,265.2
56000,269.85714285714283
57000,286.0
58000,292.0
59000,303.6666666666667
60000,311.8333333333333
61000,243.73333333333332
62000,286.0
63000,261.0
64000,238.875
65000,270.7142857142857
66000,286.3076923076923
67000,266.57142857142856
68000,252.8
69000,330.0
70000,274.2857142857143
71000,292.3076923076923
72000,315.1666666666667
73000,286.85714285714283
74000,346.0
75000,276.46153846153845
76000,258.1333333333333
77000,274.85714285714283
78000,309.1666666666667
79000,306.3333333333333
80000,307.84615384615387
81000,265.2857142857143
82000,305.53846153846155
83000,268.42857142857144
84000,278.14285714285717
85000,329.45454545454544
86000,275.85714285714283
87000,347.45454545454544
88000,280.0
89000,304.3333333333333
90000,282.0
91000,274.0
92000,315.1666666666667
93000,282.0
94000,326.6666666666667
95000,274.14285714285717
96000,321.8333333333333
97000,296.9230769230769
98000,302.90909090909093
99000,312.3333333333333
100000,276.2857142857143
101000,333.1666666666667
102000,303.5
103000,295.6923076923077
104000,312.8333333333333
105000,297.38461538461536
106000,303.38461538461536
107000,290.15384615384613
108000,349.45454545454544
109000,290.61538461538464
110000,310.1666666666667
111000,304.15384615384613
112000,300.9230769230769
113000,312.8333333333333
114000,387.8
115000,278.85714285714283
116000,307.2307692307692
117000,316.6666666666667
118000,304.9230769230769
119000,308.5
120000,305.53846153846155
121000,309.5
122000,301.1666666666667
123000,330.54545454545456
124000,285.0769230769231
125000,301.84615384615387
126000,281.84615384615387
127000,306.3076923076923
128000,388.8
129000,337.8181818181818
130000,313.0
131000,344.90909090909093
132000,319.8333333333333
133000,279.85714285714283
134000,347.09090909090907
135000,289.38461538461536
136000,336.3636363636364
137000,360.6
138000,316.5
139000,319.0
140000,315.8333333333333
141000,302.9230769230769
142000,273.7142857142857
143000,314.1666666666667
144000,330.8333333333333
145000,333.45454545454544
146000,294.7692307692308
147000,310.1666666666667
148000,314.8333333333333
149000,331.27272727272725
150000,360.4
151000,298.3076923076923
152000,344.90909090909093
153000,330.3333333333333
154000,317.1666666666667
155000,343.27272727272725
156000,332.1818181818182
157000,301.6666666666667
158000,318.6666666666667
159000,301.53846153846155
160000,333.09090909090907
