,steps,avg_rewards0
0,0,-826.706813497879
1,100000,-686.8204825751214
2,200000,-616.2630093295355
3,300000,-571.0967291836597
4,400000,-516.4810231468043
5,500000,-455.5144042518215
6,600000,-412.6512252189323
7,700000,-371.8966845000476
8,800000,-326.43506892138413
9,900000,-277.1811851294952
10,1000000,-230.59722180910055
11,1100000,-190.11693278433128
12,1200000,-154.00260911905522
13,1300000,-105.40033938821702
14,1400000,-55.790973723239865
15,1500000,-27.73503662254671
16,1600000,26.465048565590223
17,1700000,101.81443196318854
18,1800000,157.06325474921337
19,1900000,209.4259922537875
20,2000000,236.37067790967544
21,2100000,318.08997895969713
22,2200000,386.75007725907125
23,2300000,426.2158265031794
24,2400000,465.4127087657924
25,2500000,518.9662166090098
26,2600000,572.5534812786198
27,2700000,573.0544165572145
28,2800000,619.9432093367952
29,2900000,658.9394780143073
30,3000000,690.9446814469587
31,3100000,685.7498090204191
32,3200000,726.0518402574613
33,3300000,722.3869505652606
34,3400000,742.9033091552144
35,3500000,803.3421353705069
36,3600000,819.5613002535474
37,3700000,831.323260303137
38,3800000,864.86664489221
39,3900000,868.5802058560079
40,4000000,894.7319751137071
41,4100000,930.305024847557
42,4200000,930.9437206695314
43,4300000,920.4457035961198
44,4400000,943.0610061824837
45,4500000,951.5707488563897
46,4600000,982.9236332670681
47,4700000,960.9195508128005
48,4800000,975.1300996740479
49,4900000,877.8457028466536
50,5000000,909.8191674315789
51,5100000,1001.7136431615497
52,5200000,957.1620023115745
53,5300000,1032.487676316995
54,5400000,895.6812440021188
55,5500000,996.9394395926778
56,5600000,880.4297327529246
57,5700000,1066.4595943919771
58,5800000,1058.0454730780643
59,5900000,1042.2992215598297
60,6000000,1107.15552793706
61,6100000,972.4875142458264
62,6200000,1044.1922066358125
63,6300000,1129.0784871877745
64,6400000,1084.715615311913
65,6500000,1094.4992680265643
66,6600000,980.1589993563067
67,6700000,1037.970112247198
68,6800000,1056.1622809902651
69,6900000,1131.2391378345578
70,7000000,1072.405030736581
71,7100000,1131.3894365096119
72,7200000,1197.7188391236566
73,7300000,1170.500416646255
74,7400000,1204.546122857508
75,7500000,1199.9857622606448
76,7600000,1206.820565106543
77,7700000,1193.7548132430093
78,7800000,1186.202543936855
79,7900000,1156.2056272048428
80,8000000,1194.4384636928232
81,8100000,1175.016324752797
82,8200000,1224.3473070569394
83,8300000,1205.390137641883
84,8400000,1235.332020028786
85,8500000,1246.5749182686175
86,8600000,1244.8617335883941
87,8700000,1239.930831733807
88,8800000,1229.9736458727807
89,8900000,1243.0744905147299
90,9000000,1217.8454684175238
91,9100000,1249.9060974944045
92,9200000,1234.6639275148993
93,9300000,1256.777803020887
94,9400000,1257.180673319465
95,9500000,1274.8474005262183
96,9600000,1279.9780544136208
97,9700000,1268.491603863229
98,9800000,1229.5885452602008
99,9900000,1243.5309517602939
100,10000000,1268.221232903926
101,10100000,1240.8385551404438
102,10200000,1235.0013883494034
103,10300000,1272.2175305746227
104,10400000,1231.1831295058741
105,10500000,1254.9040610236998
106,10600000,1252.09023492719
107,10700000,1273.236195514822
108,10800000,1272.8832148967772
109,10900000,1213.6791997391206
110,11000000,1284.6018616412377
111,11100000,1226.1712951194347
112,11200000,1263.5395107303355
113,11300000,1295.0875011434782
114,11400000,1292.103109762539
115,11500000,1323.0696702249866
116,11600000,1362.7877983041847
117,11700000,1365.6452428110563
118,11800000,1347.483423300309
119,11900000,1368.4425960190213
120,12000000,1402.2807149180526
121,12100000,1380.614972489382
122,12200000,1377.757759070149
123,12300000,1426.2041114106426
124,12400000,1408.8541680152578
125,12500000,1481.9248730428578
126,12600000,1493.121327380783
127,12700000,1475.318603871018
128,12800000,1504.4193503998304
129,12900000,1559.403971535875
130,13000000,1595.0345158804669
131,13100000,1649.6889640404054
132,13200000,1608.526814105004
133,13300000,1636.5837772518319
134,13400000,1681.7273462865319
135,13500000,1776.6585948831205
136,13600000,1718.069681151923
137,13700000,1758.7094385959658
138,13800000,1807.2516061670008
139,13900000,1772.880727272254
140,14000000,1919.9536343945601
141,14100000,1850.5933526962172
142,14200000,1676.0526730036563
143,14300000,1851.4015026133775
144,14400000,1949.935270636284
145,14500000,1898.7159130964203
146,14600000,1928.8013481888865
147,14700000,1886.2771348823956
148,14800000,1790.1716710152887
149,14900000,1972.59308085435
150,15000000,1997.0124675718073
