,steps,avg_rewards0
0,0,42516.83054210781
1,100000,77302.09353994513
2,200000,71219.08044386597
3,300000,67860.62062695713
4,400000,66383.07242104172
5,500000,71987.2465257448
6,600000,74962.42355627444
7,700000,69952.64966557616
8,800000,64046.94215397298
9,900000,72279.08069042227
10,1000000,69276.09075942654
11,1100000,67033.31899193852
12,1200000,62244.33786413871
13,1300000,67642.3846346854
14,1400000,70078.88837450834
15,1500000,69014.80663322812
16,1600000,68841.0979071567
17,1700000,68727.76387977964
18,1800000,66068.09465742814
19,1900000,70073.88925273868
20,2000000,70884.08927557639
21,2100000,77450.61816230894
22,2200000,73387.1042858143
23,2300000,72841.29932234215
24,2400000,76439.8571353061
25,2500000,71287.44595792652
26,2600000,75209.15434361104
27,2700000,74645.28812426743
28,2800000,74356.16718080365
29,2900000,74409.61606142911
30,3000000,74477.63998665742
31,3100000,75235.9116957386
32,3200000,76197.23758163062
33,3300000,74844.13074855618
34,3400000,73901.59934223023
35,3500000,71931.77854873092
36,3600000,71501.28087713345
37,3700000,70767.06730763234
38,3800000,73111.44052839425
39,3900000,72956.63049037327
40,4000000,72204.8713838292
41,4100000,69761.03665512557
42,4200000,68362.0326624269
43,4300000,68259.9399720944
44,4400000,68802.05341986069
45,4500000,67049.58543624663
46,4600000,66629.79237148586
47,4700000,65709.4313727686
48,4800000,64098.18830450547
49,4900000,66929.14921275905
50,5000000,65930.77824303256
51,5100000,64115.163831036465
52,5200000,62552.60798167627
53,5300000,64215.96978458556
54,5400000,62420.1707521712
55,5500000,64256.06506590053
56,5600000,64654.81418153211
57,5700000,65313.13400306163
58,5800000,65869.92104763958
59,5900000,67564.35698902835
60,6000000,65972.78219601265
61,6100000,67496.55813747151
62,6200000,67657.83660702902
63,6300000,67091.31651537435
64,6400000,66105.96779538282
65,6500000,67454.53853892679
66,6600000,66720.50420605915
67,6700000,68614.58506063669
68,6800000,67806.11078414368
69,6900000,68454.86594708577
70,7000000,68559.91274984356
71,7100000,67996.24879834152
72,7200000,68714.07207861189
73,7300000,68994.86583227216
74,7400000,69356.5982058075
75,7500000,68214.8044740508
76,7600000,68358.1434318116
77,7700000,68145.66273819929
78,7800000,69896.98288889695
79,7900000,67570.6933377644
80,8000000,68539.88063841879
81,8100000,67253.6945541795
82,8200000,68206.51496068554
83,8300000,67711.55342245699
84,8400000,68483.19962759655
85,8500000,71203.98705321808
86,8600000,71648.56817135512
87,8700000,68303.20382835183
88,8800000,70583.54620016995
89,8900000,69755.079442614
90,9000000,72575.11537039338
91,9100000,71863.93273842371
92,9200000,72722.70112245102
93,9300000,70712.22814387931
94,9400000,71111.09261440251
95,9500000,70139.09687923099
96,9600000,73100.45057432046
97,9700000,76578.72101847417
98,9800000,73292.31343272516
99,9900000,77972.80479094916
100,10000000,75962.9121203872
101,10100000,75316.4826292705
102,10200000,77857.5839393166
103,10300000,78243.19941856361
104,10400000,74663.5285571877
105,10500000,74517.91137923472
106,10600000,75984.59553939657
107,10700000,72750.28230889168
108,10800000,73919.142099779
109,10900000,72893.77788829635
110,11000000,71728.96521633699
111,11100000,70376.26221699198
112,11200000,71039.23625270491
113,11300000,68623.54336554799
114,11400000,67569.08024139897
115,11500000,68283.81749950927
116,11600000,66619.25745209254
117,11700000,69036.63145343948
118,11800000,67805.23327136617
119,11900000,68809.55894979979
120,12000000,69447.71421747623
121,12100000,69671.49361637111
122,12200000,70140.29869724053
123,12300000,69303.08315422088
124,12400000,69376.11230728221
125,12500000,69534.37744050259
126,12600000,70723.63426052844
127,12700000,72061.12862131205
128,12800000,71587.47194619676
129,12900000,72629.272449462
130,13000000,71315.86670987429
131,13100000,69409.57695158978
132,13200000,69937.86238442674
133,13300000,71199.55550225537
134,13400000,70383.61412241036
135,13500000,72485.66585729054
136,13600000,71414.03225838399
137,13700000,70063.44285735517
138,13800000,70125.24517440527
139,13900000,68110.82576734542
140,14000000,66151.42961778314
141,14100000,66875.9092828762
142,14200000,67597.48284907713
143,14300000,69955.38296214532
144,14400000,67951.0120160494
145,14500000,67894.73158296356
146,14600000,67109.96904312132
147,14700000,67634.51876418719
148,14800000,63746.1212655848
149,14900000,65428.26876605088
150,15000000,66134.23756418236
151,15100000,64498.80131755281
152,15200000,62373.98797516639
153,15300000,62737.18722774953
154,15400000,62942.43275742904
155,15500000,62322.872184810694
156,15600000,61096.73510321405
157,15700000,61793.64156799983
158,15800000,63259.87131388026
159,15900000,65669.23156269977
160,16000000,65336.96865296364
161,16100000,63621.71352839493
162,16200000,62735.49146918005
163,16300000,62892.67502574124
164,16400000,63704.42610282764
165,16500000,61614.325961569026
166,16600000,61517.0408211675
167,16700000,64080.82485354357
168,16800000,62356.63337491219
169,16900000,62607.81564156998
170,17000000,63423.508428949106
171,17100000,64378.38858564398
172,17200000,63775.98583944155
173,17300000,64410.545939596974
174,17400000,64902.423200779216
175,17500000,66569.99872267786
176,17600000,65753.93247692322
177,17700000,65992.28463978125
178,17800000,65560.40670635905
179,17900000,64697.595825680466
180,18000000,65882.09162215654
181,18100000,65022.39036817689
182,18200000,66314.87828408106
183,18300000,66467.29672029201
184,18400000,66398.63974367885
185,18500000,63571.40836803251
186,18600000,65489.45955965729
187,18700000,65150.55814531162
188,18800000,65163.25526542479
189,18900000,64801.115640523545
190,19000000,63594.12031993296
191,19100000,64502.09999395966
192,19200000,63619.915489017374
193,19300000,62945.46377279792
194,19400000,63453.309704965555
195,19500000,63318.18791525163
196,19600000,64404.54687171515
197,19700000,62963.68164195279
198,19800000,62993.71709751623
199,19900000,62416.28285139109
