,steps,avg_rewards0
0,0,-687.9313889687539
1,100000,-656.4159972960063
2,200000,-481.882757432975
3,300000,-446.6259889874351
4,400000,-441.51171615187064
5,500000,-368.159793539597
6,600000,-291.4910886702091
7,700000,-316.2228714872929
8,800000,-207.75418303868227
9,900000,-252.51038166582077
10,1000000,-232.94842808355742
11,1100000,-201.37033256226508
12,1200000,-167.4530290754285
13,1300000,-173.9687360349733
14,1400000,-95.06345183885027
15,1500000,-96.51634882345115
16,1600000,-140.81423896712485
17,1700000,-90.41883833258699
18,1800000,-105.32315488142703
19,1900000,-112.41264956498861
20,2000000,-85.90979335221222
21,2100000,-99.58826379847393
22,2200000,-75.5427278459187
23,2300000,-85.41284401077966
24,2400000,-63.9665769046735
25,2500000,-77.9362684696054
26,2600000,-66.35843052669347
27,2700000,-52.67821251950418
28,2800000,-71.60379747743977
29,2900000,-90.99948964768666
30,3000000,-67.49465061519759
31,3100000,-51.36701866319037
32,3200000,-45.02185200675421
33,3300000,-50.212101187973296
34,3400000,-38.83513489460002
35,3500000,-37.91886635492401
36,3600000,-22.461923848749795
37,3700000,-34.0093219191961
38,3800000,-24.61195705187715
39,3900000,-41.11367584233923
40,4000000,-19.692361357153985
41,4100000,-22.131206382389028
42,4200000,-4.068956932266301
43,4300000,-9.56285604933116
44,4400000,-8.787286137679082
45,4500000,-1.957760503773164
46,4600000,3.5948311110584865
47,4700000,8.350892868153126
48,4800000,9.460962853038485
49,4900000,16.59513007241377
50,5000000,23.279392604074964
51,5100000,32.39889923647298
52,5200000,39.46522904106955
53,5300000,42.06563408405773
54,5400000,50.57691690334791
55,5500000,59.24348466710321
56,5600000,75.79847347121293
57,5700000,79.8609721662611
58,5800000,103.00410009255106
59,5900000,88.92902637412689
60,6000000,103.48175581443753
61,6100000,117.95029156574802
62,6200000,133.27188423769852
63,6300000,171.09249354017118
64,6400000,187.86961717854464
65,6500000,190.54780238496252
66,6600000,190.79948710556008
67,6700000,191.35748315392254
68,6800000,210.8910282189724
